Ref,Val,Package,PosX,PosY,Rot,Side
"D1","GR","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",5.310000,8.567501,-90.000000,bottom
"R5","10k","R_0402_1005Metric",11.640000,4.800001,-90.000000,bottom
"R6","68","R_0402_1005Metricf",6.480000,11.420001,-90.000000,bottom
"SW1","SW_Push","SW_Push_1P1T_XKB_TS-1187A",11.530000,8.585001,0.000000,bottom
"C1","10u","C_0603_1608Metric",9.025000,14.450001,0.000000,top
"C2","100n","C_0402_1005Metric",6.960000,11.770001,90.000000,top
"C3","100n","C_0402_1005Metric",6.970000,7.570001,90.000000,top
"C4","100n","C_0402_1005Metric",14.120000,3.890001,180.000000,top
"C5","100n","C_0402_1005Metric",16.210000,11.190001,-90.000000,top
"C6","100n","C_0402_1005Metric",9.020000,13.180001,0.000000,top
"C7","100n","C_0402_1005Metric",5.510000,7.150001,0.000000,top
"C8","33p","C_0402_1005Metricf",5.710000,10.660001,90.000000,top
"C9","33p","C_0402_1005Metricf",5.690000,8.740001,90.000000,top
"C10","100n","C_0402_1005Metric",5.660000,3.410001,-90.000000,top
"C11","10u","C_0603_1608Metric",22.800000,6.100001,-90.000000,top
"C12","10u","C_0603_1608Metric",16.985000,5.140001,90.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",20.390000,14.550001,-90.000000,top
"P1","USB_C_Plug_USB2.0","TYPE-C-31-G-01",26.287500,8.560001,90.000000,top
"R1","10k","R_0402_1005Metric",10.010000,15.690001,0.000000,top
"R2","4k7","R_0402_1005Metric",12.430000,2.960001,180.000000,top
"R3","4k7","R_0402_1005Metric",10.880000,3.460001,-90.000000,top
"R4","4k7","R_0402_1005Metric",22.917500,10.870001,0.000000,top
"U1","STM32F072CBUx","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",11.562500,8.540001,0.000000,top
"U2","ATECC608B-MAHDA","DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm",8.280000,3.060001,0.000000,top
"U3","MCP1700x-330xxTT","SOT-23",19.647500,5.040001,0.000000,top
"U4","USBLC6-2SC6","SOT-23-6",19.510000,8.540001,180.000000,top
"Y1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",3.460000,9.760001,-90.000000,top
